tweet,clean_text,crime_type
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
GunsandCoffee,gunsandcoffee,Other
Abu Layth Al Hindi,abu layth al hindi,Other
Abu Layth Al Hindi,abu layth al hindi,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
abu baker aldimashqi,abu baker aldimashqi,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
ابو الدرداء #خلافة,,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
abu baker aldimashqi,abu baker aldimashqi,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
IS_BAQIYA,isbaqiya,Other
